Symbol	Description	Raw LaTeX
α	Greek Alphabet (Lowercase/Uppercase)	\alpha
β	Greek Alphabet (Lowercase/Uppercase)	\beta
γ	Greek Alphabet (Lowercase/Uppercase)	\gamma
δ	Greek Alphabet (Lowercase/Uppercase)	\delta
ε	Greek Alphabet (Lowercase/Uppercase)	\epsilon
ζ	Greek Alphabet (Lowercase/Uppercase)	\zeta
η	Greek Alphabet (Lowercase/Uppercase)	\eta
θ	Greek Alphabet (Lowercase/Uppercase)	\theta
ι	Greek Alphabet (Lowercase/Uppercase)	\iota
κ	Greek Alphabet (Lowercase/Uppercase)	\kappa
λ	Greek Alphabet (Lowercase/Uppercase)	\lambda
μ	Greek Alphabet (Lowercase/Uppercase)	\mu
ν	Greek Alphabet (Lowercase/Uppercase)	\nu
ξ	Greek Alphabet (Lowercase/Uppercase)	\xi
ο	Greek Alphabet (Lowercase/Uppercase)	\omicron
π	Greek Alphabet (Lowercase/Uppercase)	\pi
ρ	Greek Alphabet (Lowercase/Uppercase)	\rho
σ	Greek Alphabet (Lowercase/Uppercase)	\sigma
τ	Greek Alphabet (Lowercase/Uppercase)	\tau
υ	Greek Alphabet (Lowercase/Uppercase)	\upsilon
φ	Greek Alphabet (Lowercase/Uppercase)	\phi
χ	Greek Alphabet (Lowercase/Uppercase)	\chi
ψ	Greek Alphabet (Lowercase/Uppercase)	\psi
ω	Greek Alphabet (Lowercase/Uppercase)	\omega
×	Operations	\times
÷	Operations	\div
⋅	Operations	\cdot
±	Plus-minus / Minus-plus	\pm
∓	Plus-minus / Minus-plus	\mp
∑	Sum, Product, Coproduct	\sum
∏	Sum, Product, Coproduct	\prod
∐	Sum, Product, Coproduct	\coprod
∫	Integrals (Single to Volume/Contour)	\int
∬	Integrals (Single to Volume/Contour)	\iint
∭	Integrals (Single to Volume/Contour)	\iiint
∮	Integrals (Single to Volume/Contour)	\oint
∂	Partial derivative, Gradient/Nabla	\partial
∇	Partial derivative, Gradient/Nabla	\nabla
→	Arrows	\to
←	Arrows	\leftarrow
↔	Arrows	\leftrightarrow
⇒	Implies / Equivalence arrows	\Rightarrow
↦	Maps to / Long arrow	\mapsto
⟶	Maps to / Long arrow	\longrightarrow
≈	Similarity and Approximations	\approx
∼	Similarity and Approximations	\sim
≃	Similarity and Approximations	\simeq
≡	Congruence and Equivalence	\equiv
≅	Congruence and Equivalence	\cong
≢	Congruence and Equivalence	\not\equiv
≤	Inequalities	\leq
≥	Inequalities	\geq
≪	Inequalities	\ll
≫	Inequalities	\gg
∈	Set Theory (Membership & Subsets)	\in
∉	Set Theory (Membership & Subsets)	\notin
⊂	Set Theory (Membership & Subsets)	\subset
⊃	Set Theory (Membership & Subsets)	\supset
⊆	Subset/Superset variations	\subseteq
⊇	Subset/Superset variations	\supseteq
⊊	Subset/Superset variations	\subsetneq
∪	Set Operations (Union, Intersect, Diff)	\cup
∩	Set Operations (Union, Intersect, Diff)	\cap
∖	Set Operations (Union, Intersect, Diff)	\setminus
∅	Empty set	\emptyset
∅	Empty set (Alternative)	\varnothing
∀	Quantifiers	\forall
∃	Quantifiers	\exists
∄	Quantifiers	\nexists
∧	Logic Operators (AND, OR, NOT)	\land
∨	Logic Operators (AND, OR, NOT)	\lor
¬	Logic Operators (AND, OR, NOT)	\neg
⟹	Logical implication / equivalence	\implies
⟺	Logical implication / equivalence	\iff
∞	Infinity	\infty
ℵ0	Infinity and Aleph null	\aleph_0
⊥	Perpendicular, Parallel	\perp
∥	Perpendicular, Parallel	\parallel
∠	Geometry (Angle, Triangle, Square)	\angle
△	Geometry (Angle, Triangle, Square)	\triangle
□	Geometry (Angle, Triangle, Square)	\square
□̄	Accents (Bar, Hat, Tilde)	\bar{\square}
□̂	Accents (Bar, Hat, Tilde)	\hat{\square}
□̃	Accents (Bar, Hat, Tilde)	\tilde{\square}
□⃗	Vectors and Time Derivatives	\vec{\square}
□̇	Vectors and Time Derivatives	\dot{\square}
□̈	Vectors and Time Derivatives	\ddot{\square}
□/□	Fractions	\frac{\square}{\square}
√□	Square and Nth Roots	\sqrt{\square}
ⁿ√□	Square and Nth Roots	\sqrt[\square]{\square}
∑	Summations with Bounds	\sum_{\square}^{\square}
∫	Definite Integrals with Bounds	\int_{\square}^{\square}
lim	Limits	\lim_{\square \to \square}
(□/□)	Scalable Parentheses / Brackets	\left( \frac{\square}{\square} \right)
□ □ ; □ □	Basic Matrix	\begin{matrix} \square & \square \\ \square & \square \end{matrix}
(□ □ ; □ □)	Matrix with Parentheses	\begin{pmatrix} \square & \square \\ \square & \square \end{pmatrix}
|□ □ ; □ □|	Determinant Matrix	\begin{vmatrix} \square & \square \\ \square & \square \end{vmatrix}
+	Plus	+
-	Minus	-
∗	Asterisk	\ast
⋆	Star	\star
∘	Function composition (circle)	\circ
•	Bullet	\bullet
=	Equals	=
≠	Not equal	\neq
∝	Proportional to	\propto
<	Less than	<
>	Greater than	>
ℵ	Aleph	\aleph
ℏ	Reduced Planck constant (H-bar)	\hbar
ℜ	Real part	\Re
ℑ	Imaginary part	\Im
℘	Weierstrass p	\wp
(	Left parenthesis	(
)	Right parenthesis	)
[	Left square bracket	[
]	Right square bracket	]
{	Left curly brace	\{
}	Right curly brace	\}
⟨	Left angle bracket	\langle
