Symbol	Description	Raw LaTeX	Flutter Formula	Category	Key Type
α	Greek Alphabet (Lowercase/Uppercase)	\alpha	$$\alpha$$	Greek	Symbol
β	Greek Alphabet (Lowercase/Uppercase)	\beta	$$\beta$$	Greek	Symbol
γ	Greek Alphabet (Lowercase/Uppercase)	\gamma	$$\gamma$$	Greek	Symbol
δ	Greek Alphabet (Lowercase/Uppercase)	\delta	$$\delta$$	Greek	Symbol
ε	Greek Alphabet (Lowercase/Uppercase)	\epsilon	$$\epsilon$$	Greek	Symbol
ζ	Greek Alphabet (Lowercase/Uppercase)	\zeta	$$\zeta$$	Greek	Symbol
η	Greek Alphabet (Lowercase/Uppercase)	\eta	$$\eta$$	Greek	Symbol
θ	Greek Alphabet (Lowercase/Uppercase)	\theta	$$\theta$$	Greek	Symbol
ι	Greek Alphabet (Lowercase/Uppercase)	\iota	$$\iota$$	Greek	Symbol
κ	Greek Alphabet (Lowercase/Uppercase)	\kappa	$$\kappa$$	Greek	Symbol
λ	Greek Alphabet (Lowercase/Uppercase)	\lambda	$$\lambda$$	Greek	Symbol
μ	Greek Alphabet (Lowercase/Uppercase)	\mu	$$\mu$$	Greek	Symbol
ν	Greek Alphabet (Lowercase/Uppercase)	\nu	$$\nu$$	Greek	Symbol
ξ	Greek Alphabet (Lowercase/Uppercase)	\xi	$$\xi$$	Greek	Symbol
ο	Greek Alphabet (Lowercase/Uppercase)	\omicron	$$\omicron$$	Greek	Symbol
π	Greek Alphabet (Lowercase/Uppercase)	\pi	$$\pi$$	Greek	Symbol
ρ	Greek Alphabet (Lowercase/Uppercase)	\rho	$$\rho$$	Greek	Symbol
σ	Greek Alphabet (Lowercase/Uppercase)	\sigma	$$\sigma$$	Greek	Symbol
τ	Greek Alphabet (Lowercase/Uppercase)	\tau	$$\tau$$	Greek	Symbol
υ	Greek Alphabet (Lowercase/Uppercase)	\upsilon	$$\upsilon$$	Greek	Symbol
φ	Greek Alphabet (Lowercase/Uppercase)	\phi	$$\phi$$	Greek	Symbol
χ	Greek Alphabet (Lowercase/Uppercase)	\chi	$$\chi$$	Greek	Symbol
ψ	Greek Alphabet (Lowercase/Uppercase)	\psi	$$\psi$$	Greek	Symbol
ω	Greek Alphabet (Lowercase/Uppercase)	\omega	$$\omega$$	Greek	Symbol
×	Operations	\times	$$\times$$	General	Symbol
÷	Operations	\div	$$\div$$	General	Symbol
⋅	Operations	\cdot	$$\cdot$$	General	Symbol
±	Plus-minus / Minus-plus	\pm	$$\pm$$	General	Symbol
∓	Plus-minus / Minus-plus	\mp	$$\mp$$	General	Symbol
∑	Sum, Product, Coproduct	\sum	$$\sum$$	General	Symbol
∏	Sum, Product, Coproduct	\prod	$$\prod$$	General	Symbol
∐	Sum, Product, Coproduct	\coprod	$$\coprod$$	General	Symbol
∫	Integrals (Single to Volume/Contour)	\int	$$\int$$	Calculus	Operator
∬	Integrals (Single to Volume/Contour)	\iint	$$\iint$$	Calculus	Operator
∭	Integrals (Single to Volume/Contour)	\iiint	$$\iiint$$	Calculus	Operator
∮	Integrals (Single to Volume/Contour)	\oint	$$\oint$$	Calculus	Operator
∂	Partial derivative, Gradient/Nabla	\partial	$$\partial$$	Calculus	Operator
∇	Partial derivative, Gradient/Nabla	\nabla	$$\nabla$$	Calculus	Operator
→	Arrows	\to	$$\to$$	General	Symbol
←	Arrows	\leftarrow	$$\leftarrow$$	General	Symbol
↔	Arrows	\leftrightarrow	$$\leftrightarrow$$	General	Symbol
⇒	Implies / Equivalence arrows	\Rightarrow	$$\Rightarrow$$	General	Symbol
↦	Maps to / Long arrow	\mapsto	$$\mapsto$$	General	Symbol
⟶	Maps to / Long arrow	\longrightarrow	$$\longrightarrow$$	General	Symbol
≈	Similarity and Approximations	\approx	$$\approx$$	General	Symbol
∼	Similarity and Approximations	\sim	$$\sim$$	General	Symbol
≃	Similarity and Approximations	\simeq	$$\simeq$$	General	Symbol
≡	Congruence and Equivalence	\equiv	$$\equiv$$	General	Symbol
≅	Congruence and Equivalence	\cong	$$\cong$$	General	Symbol
≢	Congruence and Equivalence	\not\equiv	$$\not\equiv$$	General	Symbol
≤	Inequalities	\leq	$$\leq$$	General	Symbol
≥	Inequalities	\geq	$$\geq$$	General	Symbol
≪	Inequalities	\ll	$$\ll$$	General	Symbol
≫	Inequalities	\gg	$$\gg$$	General	Symbol
∈	Set Theory (Membership & Subsets)	\in	$$\in$$	Relations & Logic	Operator
∉	Set Theory (Membership & Subsets)	\notin	$$\notin$$	Relations & Logic	Operator
⊂	Set Theory (Membership & Subsets)	\subset	$$\subset$$	Relations & Logic	Operator
⊃	Set Theory (Membership & Subsets)	\supset	$$\supset$$	Relations & Logic	Operator
⊆	Subset/Superset variations	\subseteq	$$\subseteq$$	Relations & Logic	Operator
⊇	Subset/Superset variations	\supseteq	$$\supseteq$$	Relations & Logic	Operator
⊊	Subset/Superset variations	\subsetneq	$$\subsetneq$$	Relations & Logic	Operator
